Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Saheli, 1978-02-17, Family drama,"Shabnam, Waheed Murad, Rani, Ghulam Mohayuddin, Nanha, Shehla Gill, Hanif, Aurangzeb Laghari, M.D. Sheikh, Tamanna, Ibrahim Nafees",Shabab Keranvi,Shabab Keranvi,Shabab Keranvi (dialogues: Riazur Rehman Saghar),M. Ashraf,Shabab Keranvi,"Naheed Akhtar, Asad Amanat Ali Khan",Sadiq Moti,
Ghunda, 1978-03-10, Action film,"Neelo, Sultan Rahi, Najma, Iqbal Hassan",Masood Bin Aslam,Jamal Masood,?,Safdar Hussain,Zia Sarhadi,"Naheed Akhtar, Masood Rana",?,
Aabshar, 1978-03-10, Romantic film,"Shabnam, Shahid, Nanha, Lehri, Shahnawaz, Tamanna, Aslam Parvez, Aliya, Farzana, Nirala, Munir Zarif",Zeenat Begum,Zeenat Begum,?,M. Ashraf,"Taslim Fazli, Khawaja Parvez","Naheed Akhtar, Mehnaz, Mehdi Hassan, A. Nayyar",?,
Aag aur Zindagi, 1978-03-17, Family drama,"Mohammad Ali, Mumtaz, Talat Iqbal, Deeba, Talish, Sabiha Khanum, Lehri, Mustafa Qureshi, Saiqa, Zarqa, Ishrat Chodhary, Mizla, Khalid Saleem Mota, Shahnawz, Kamal Iranee, Mustafa Tind",S. Suleman,"Sheikh Saeed, M. Ilyas","Arsh Lakhnavi (dialogues, screenplay: Agha Hassan Imtisal)",M. Ashraf,Taslim Fazli,"Noorjahan, Mala, Naheed Akhtar, Mehnaz, Ahmad Rushdi",M. Hussain,
Qatil Tay Smuggler, 1978-03-24, Family drama,"Musarrat Shaheen, Iqbal Hassan, Asif Khan, Badar Munir",Nazir Ali,Javed,?,Shaukat Raaz,?,?,?,
Mera Naam Raja, 1978-03-24, Family drama,"Naghma, Habib, Sudhir, Sangeeta, Munawar Zarif, Musarrat Shaheen, Talish, Haidar, Nanha, Jaggi Malik, Mustafa Tind, Hameed Chodhary, Jahangir Mughal",Hamid Usmani,"Habib, Riazur Rehman",Hamid Usmani (dialogues: Khursheed Ullah),Bakhshi Wazir,Taslim Fazli,"Mehnaz, Naheed Akhtar, Masood Rana","Naseeruddin, Iqbal Chodhary",
Iradah, 1978-03-31, Family drama,"Chakori, Kaifee, Asif Khan, Nazli, Nanha, Bahar, Hamayun Qureshi, Jaggi Malik, Changezi, Altaf Khan, Iqbal Durrani, Suhail Siddiqi, Javed Hassan, Munir Zarif, Imdad Hussain, Malik Anokha",Javed Hassan,Zahida,Qaisar Malik,Mushtaq Ali,"Hazin Qadri, Nayyar Soch, Qaisar Malik","Naheed Akhtar, Mehnaz, Mehdi Hassan","Amjad Munir, Sajjad Rizvi",
Kora Kaghaz, 1978-03-31, Romantic film,"Zeba, Mohammad Ali, Babra Sharif, Zubair, Nayyar Sultana, Mustafa Qureshi, Afzaal Ahmad, Saba, Qavi, Asifa, Shahnawaz, Naghma, Parveen Bobby, Mizla, Kamal Iranee, (Guests: Atia Sharf, Nasira, Tani, Ajmal, Allauddin, Dildar Parvez Bhatti)",M. Akram,M. Akram,"Matloob Ahmad (screenplay, dialogues: Agha Hassan Imtisal)",Nazir Ali,Taslim Fazli,"Noorjahan, Naheed Akhtar, Mehnaz, Mehdi Hassan",Kamran Mirza,
Wafadar, 1978-04-07, Family drama,"Asiya, Yousuf Khan, Nazli, Masood Akhtar, Nayyar Sultana, Bahar, Nimmo, Fazil Butt, Amrozia, Sawan",Masood Asghar,Zia Bin Imam,?,Wajahat Attray,?,Mehdi Hassan,?,
Chori Mera Kaam, 1978-04-07, Action film,"Najma, Sultan Rahi, Ghulam Mohayuddin, Shehnaz, Ilyas Kashmiri, Mustafa Qureshi, Khalid Saleem Mota, Shahnawaz, Seema, Kamal Iranee, Mustafa Tind, Faisal Iqbal (child), (Guest: Sabiha Khanum)",Iqbal Kashmiri (also screenplay),Shehnaz Iqbal,"Iqbal Kashmiri, (dialogues: Rashid Sajid)",Kemal Ahmad,"Taslim Fazli, Saeed Gilani","Noorjahan, Mehnaz, Ishrat Jahan, Mehdi Hassan",Kamran Mirza,"Ass. Producers: Kemal Ahmad, Shehnaz Begum"
Parakh, 1978-04-07, Action film,"Rani, Waheed Murad, Asif Khan, Usman Pirzada, Navin Tajik, Nanha, Qavi, Tamanna, Saqi, Romana, Jalil Afghani, Rashid, Dildar Parvez Bhatti",Jan Mohammad,S.M.K. Hussain,"Jalil Afghani (screenplay, dialouges: Basheer Niaz)",Kemal Ahmad,Taslim Fazli,"Naheed Akhtar, Mehnaz, A. Nayyar, Ghulam Abbas",A.R. Naseer,
Gharib Da Baal, 1978-04-14, Family drama,"Neelo, Majeed Zarif, Aurangzeb, Salma Mumtaz, Nabeela, Aslam Parvez",Abid Shuja,Mohammad Ali Dilawar,?,Mushtaq Ali,?,"Noorjahan, Masood Rana",?,
Barat, 1978-04-14, Family drama,"Mohammad Ali, Babra Sharif, Shahid, Ghulam Mohayuddin, Meena Daud, Khalid Saleem Mota, Saqi, Seema, Pandit Shahed, Arsalan, Chakram, Naina, (Guests: Nayyar Sultana, Shahnawaz, Tamanna, Ishrat Chodhary, Jamshed Ansari, Hanif, Asifa, Nirala)",S.A. Hafiz,S.A. Hafiz,Khursheed Ullah,M. Ashraf,Taslim Fazli,"Noorjahan, Naheed Akhtar, Mehnaz, Mehdi Hassan, Ahmad Rushdi, A. Nayyar, Asad Amanat Ali Khan",M. Hussain,
Ameer Tay Gharib, 1978-04-21, Family drama,"Aliya, Yousuf Khan, Saloni, Adeeb, Asad Bukhari",Wafa Jafri,Wafa Jafri,?,Tufail Farooqi,?,Masood Rana,?,
Kabhi Kabhi, 1978-04-21, Family drama,"Sangeeta, Shahid, Kaveeta, Ghulam Mohayuddin, Lehri",Wazir Ali,Nazir Ali,?,M. Ashraf,?,?,?,
Lathi Charge, 1978-04-28, Political motivated film,"Najma, Sultan Rahi, Mustafa Qureshi, Chakori, Ilyas Kashmiri, Bahar, Jaggi Malik, Changezi, Iqbal Durrani, Khawar Abbas, Zahir Shah, Badal, Munawar Saeed, Munir Zarif, (Guests: Rozina, Iqbal Hassan, Nabeela, Adeeb, Khalid Saleem Mota, Kamal Iranee)",Idrees Khan,"Mushtaq Ahmad, Inaam Ullah",Imtiaz Quresh,Safdar Hussain,"Waris Ludhanvi, Khawaja Parvez, Imtiaz Quresh","Noorjahan, Mehnaz",Munawar Ayub,
Ilzam, 1978-04-28, Family drama,"Badar Munir, Surayya Khan, Jameel Babar, Liaqat Major, Nemat Sarhadi, Nageena Khanum, Imrozia, Farida, Parveen Boby, Kamal Iranee",Inayat Ullah Khan,Sardar Khan,"Inayat Ullah Khan, (screenplay: Zahoor Zaidi, dialogues: Fakhruddin Khawaishki)",Rafiq Shinvari,Ameer Ghulam Sadiq,"Gulnar Begum, Kishwar Sultan, Khayal Mohammad",Irshad Ahmad,
Sharmili, 1978-04-28, Family drama,"Mumtaz, Nadeem, Ghulam Mohayuddin, Qavi, Dimple, Tamanna, Khalid Saleem Mota, Seema, Rashid, Jamshed Ansari, Sajan, Chakram, Asifa, Nirala, Khalid Nizami, Mehboob Alam, Malik Anokha, ChunChun, (Guests: Ishrat Chodhary, Nazim, Talat Siddiqi, Shahnawaz)",Iqbal Akhtar,Z. Chodhary,Younis Hamdam,Karim Shahabuddin,Younis Hamdam,"Mala, Naheed Akhtar, Mehnaz, Ahmad Rushdi, A. Nayyar","M. Ayub, Parvez Khan",
Elaan, 1978-05-05, Family drama,"Asiya, Sultan Rahi, Ghazala, Kaifee, Nimmo, Inayat Hussain Bhatti, Nanha, Asad Bukhari, Altaf Khan, Suhail, Jaggi Malik, Adeeb",Kaifee,"Abdul Majeed, Mohammad Naeem",Nasir Adeeb,Bakhshi Wazir,Waris Ludhyanvi,"Noorjahan, Naheed Akhtar, Inayat Hussain Bhatti",M. Latif,
Sab Dushman, 1978-05-12, Action film,"Naghma, Yousuf Khan",Waheed Dar,S.M. Ali,?,Nazir Ali,?,?,?,
Juvand Ya Marg, 1978-05-19, Family drama,"Musarrat Sh, Badar Munir, Asif Khan, Waheeda, Parveen, Sabiha, Saqi, Tamanna, Nanha, Humayun, Nemat Sarhadi",Laeeq Akhtar,Sabhat-ul-Raza,?,Nisar Bazmi,Qaisar Malik,?,?,
Cheeta Chalbaz, 1978-05-19, Family drama,"Aliya, Mustafa Qureshi, Najma, Aurangzeb, Naghma, Nanha, Ilyas Khasmiri, Chakori, Yasmin Khan, Romana, Hameed Chodhary, Shah Nawaz, Munir Zarif, Badar Munir (guest)",Altaf Hussain,Shahid Altaf,Mohammad Kemal Pasha,Tafoo,"Khawaja Parvez, Nazish Kashmiri","Naheed Akhtar, Afshan",Saleem Butt,
Tamashbeen, 1978-05-19, Family drama,"Naghma, Habib, Masood Akhtar, Aslam Parvez, Mazhar Shah, Sabiha Khanum, Nimmi, Nazo, Jaggi Malik, Ajmal, Seema, Khalid Saleem Mota, Mizla,",S.M. Zaman,"Chodhary Mohammad Aslam, Mian Mohammad Zaman",Zahoor Zaidi,"Ghulam Hussain Shabbir, Akhtar Hussain","Tanvir Naqvi, Waris Ludhyanvi, Mushir Kazmi, Basheer Munzar","Noorjahan, Mala, Tasawur Khanum, Afshan, Saeed Hassan Shah","Nazir Gul, Ghazanfar Ali",
Abhi to Main Jawan Hun, 1978-05-19, Comedy & musical film,"Shabnam, Shahid, Sabiha Khanum, Nayyar Sultana, Nanha, Santosh Kumar, Meena Daud, Tamanna, Najma Mehboob, Pappu Zarif, Asifa, Qavi, Saqi, Albela, Khalid Saleem Mota",S. Suleman,Syed Irfan Ali,Agha Hassan Imtisal,M. Ashraf,"Abul Asar Hafeez Jalandhri, Josh, Taslim Fazli","Noorjahan, Naheed Akhtar, Mehdi Hassan, Asad Amanat Ali Khan",Ali Jan,
