Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Afsana, 1970-02-06, Family drama,"Deeba, Waheed Murad, Rozina, Nanha, Shakir",Luqman,Asghar Ali,?,Nashad,Tanvir Naqvi,"Mala, Ahmad Rushdi, Mujeeb Alam",?,
Honeymoon, 1970-02-06, Family drama,"Husna, Kemal, Rozina, Jafri, Jalil Afghani",Syed Kemal,Syed Kemal,?,Javed Sarwar,?,"Mala, Ahmad Rushdi, Masood Rana",?,
2 Nain Swali, 1970-02-17, Family drama,"Naghma, Habib, Yousuf Khan, Naheed, Saiqa, Rangeela, Asad Bukhari, Ilyas Kashmiri, Ali Ejaz, Khalifa Nazir, Atia Sharf",Altaf Hussain,Mushtaq A. Sheikh,Sultan Mehmood Ashufta,G.A. Chishti,?,"Noorjahan, Inayat Hussain Bhatti",?,
Chann tay Chakor, 1970-02-17, Romantic film,"Firdous, Habib, Rukhsana, Ilyas Kashmiri",Aizaz Syed,Saeed Ali Qamar,?,Safdar Hussain,?,?,?,
Sajna Door Deya, 1970-02-17, Family & musical film,"Firdous, Ejaz, Deeba, Kaifee, Nabeela, Munawar Zarif, Asad Bukhari, Sabiha Khanum, Zulfi, Razia, Rasheed Zarif, Nabeela, Salma Mumtaz, Sheikh Iqbal, Allauddin",Iftikhar Khan,Hazin Qadri,Hazin Qadri,Nazir Ali,Hazin Qadri,"Noorjahan, Munawar Zarif","Riaz Bukhari, Amjad Bukhari",
Sajjan Beli, 1970-02-17, Family drama,"Rani, Inayat Hussain Bhatti, Kaifee, Rukhsana, Allauddin, Seema, Asad Bukhari, Roshan, Khalid Abbas Dar, Shahida, Ali Ejaz, Khalifa Nazir, Irfan Khooost, Murid Ahmad, Ali Ahmad, Salma Mumtaz, Niggo, Chakram",Nazar Shabab,Shabab Keranvi (supervisor),"Ishrat Rehmani (screenplay: Shabab Keranvi, dialogues: S. Jamsheri)",Tasadduq Hussain,"Bahseer Khokhar, Iqbal Chodhary, Iftikhar Shahid","Noorjahan, Naseem Begum, Inayat Hussain Bhatti, Masood Rana",Riaz Bukhari,
Aakhri Chattan, 1970-02-17, Family drama,"Rani, Nasrullah Butt, Tarana, Adeeb, Sultan Rahi, Salma Mumtaz, Rafiq Tingu,",Aslam Dar,Mian Mushtaq,?,Master Rafiq Ali,Mushir Kazmi,?,?,
Ik Sona Ik Mitti, 1970-02-27, Family drama,"Firdous, Ejaz, Yousuf Khan, Aliya, Zeenat, Sultan Rahi, M. Ismail, Salma Mumtaz, Zulfi, Razia, Khalifa Nazir",Rashid Akhtar,"Masood Ahmad, Mehboob Khan",Shamshad Chodhary (screenplay & dialog: Zaheed Ahmad Naqsh),M. Javed,Khawaja Parvez,"Noorjahan, Mala, Runa Laila, Mehdi Hassan, Munir Hussain",Nusrat Butt,
Meena, 1970-02-27, Family drama,"Kaburi, Razzaq, Anwar Hussain, Siraj",Qazi Zaheer,Chitra Sehna,?,Basheer Ahmad,?,"Ahmad Rushdi, Basheer Ahmad",?,
Ali Baba 40 Chor, 1970-03-06, Folk film,"Firdous, Habib, Rangeela, Sultan Rahi, Allauddin",Zia Ullah,Saleem Ashrafi,?,Tasadduq Hussain,?,"Ahmad Rushdi, Masood Rana",?,
Maa Puttar, 1970-03-20, Family & musical film,"Firdous, Sudhir, Rukhsana, Nabeela, Rangeela, Talish, Mazhar Shah, Shahida, Khalifa Nazir, Nasira, M. Ismael, Zahoor Shah, Niggo",Waheed Daar (ass. Hassan Askari),Tariq Masood Qureshi,Tanvir Kazmi,G.A. Chishti,"Tanvir Naqvi, Hazin Qadri","Noorjahan, Naseem Begum",Naseem Hussain (ass. Masood Butt),
Wichhray Rabb Melay, 1970-03-20, Family drama,"Firdous, Ejaz, Zamarrud, Yousuf Khan, Iqbal Hassan, Nabeela, Sahra, Talish, Khalifa Nazir, Ali Ejaz, Nazar, Riaz, Zahoor Shah",M.J. Rana,Sh. Abdur Rasheed,"Sheikh Iqbal (dialogues: BabaAlam Siaposh, screenplay: Basheer Malik)",G.A. Chishti,"Baba Alam Siaposh, Waris Ludhyanvi, Muslim Awaisi",Naseem Begum,?,
Be-Wafa, 1970-03-20, Romantic film,"Shamim Ara, Waheed Murad, Nabeela, Rehana Siddiqi, Tamanna, Rangeela, Saqi, Rajni, Seema, Shakir, Niggo, ChhamChham (Guests: Mustafa Qureshi, Khalid Saeed Butt)",S. Suleman,Irfan Malik,Agha Hassan Imtisal,Nisar Bazmi,"Masroor Anwar, Kaleem Usmani, Taslim Fazli","Noorjahan, Mala, Kanwal, Ahmad Rushdi","M, Shouki",
Takht-o-Taj, 1970-03-20, Family drama,"Saloni, Saleem, Talish, Adeeb, Rangeela",Saeed Butt,Haji Mohayuddin,?,Rehman Verma,?,Ahmad Rushdi,?,
Yeh Rastay hayn Pyar kay, 1970-03-20, Family drama,"Aliya, Habib, Ejaz, Husna, Saloni",Sarwar Khayal,Mohammad Yaqoob,?,Azam Baig,Mushir Kazmi,"Naseem Begum, Masood Rana",?,
Bhai Chara, 1970-03-27, Social film,"Naghma, Habib, Saba, Rangeela, Munawar Zarif, Sawan, Nabeela, Farida, A. Shah, Gul Zaman, Zahoor Shah, Rangoon Wala",Noor (supervisor: M.J. Rana),"Afzal Chodhary, Mian Mohammad Basheer",Mustafa Butt,G.A. Chishti,"Waris Ludhyanvi, Hazin Qadri (also dialogues)","Noorjahan, Naseem Begum, Masood Rana, Saleem Chodhayr, Naseem Chodhary",Nusrat Butt (ass. Masood Butt),
Yaar tay Pyar, 1970-03-27, Romantic and social film,"Firdous, Ejaz, Aliya, Iqbal Hassan, Aslam Parvez, Mazhar Shah, Saiqa, Shahida, Munawar Zarif, Rangeela, Salma Mumtaz, Fazil Butt",Masood Parvez,Sardar Aslam,Hazin Qadri,G.A. Chishti,Hazin Qadri,"Noorjahan, Naseem Begum, Runa Laila, Masood Rana","M.R. Ahmad, Razzaq Mirza",
Aansoo Ban geye Moti, 1970-03-27, Family drama,"Shamim Ara, Mohammad Ali, Naseema Khan, Rangeela, Adeeb, Saqi, Sheikh Iqbal, Shahida, Niggo, (Guests: Habib, Munawar Zarif, Zulfi, Sabira Sultana, Seema)",M.A. Rasheed,Parvez Aftab,Rasheed Sajid,Master Inayat Hussain,Qateel Shafai,"Mala, Runa Laila, Mehdi Hassan, Ahmad Rushdi, Masood Rana",Iqbal Chodhary,
Naseeb Apna Apna, 1970-04-03, Romantic & musical film,"Shabnam, Waheed Murad, Zamurrad, Nirala, Saqi, Tamanna",Qamar Zaidi,Waheed Murad,Iqbal Rizvi,Lal Mohammad Iqbal,Masroor Anwar,"Runa Laila, Irene Parveen, Ahmad Rushdi",?,
Laralappa, 1970-04-10, Family drama,"Farzana, Ejaz, Nasira, Naheed, Mazhar Shah, Sultan Rahi, Munawar Zarif, Razia, Zulfi, ChunChun, Fazal Haq, Sultana Iqbal, ChhamChham",M.S. Dar,Z.D. Sheikh,Mistry Ghulam Mohammad (dialog: Baba Alam Siaposh),Master Rafiq Ali,"Tufail Hoshiarpuri, Baba Alam Siaposh, Hazin Qadri","Mala, Naseem Begum, Nazir Begum, Irene Parveen, Masood Rana",Saeed Dar,
Bazi, 1970-04-10, Romantic film,"Nisho, Nadeem, Mohammad Ali, Qavi, Rehan, Niggo, Rehana, Nazar Durrani, Neelofar, Atia Sharf, Waheeda Khan, Neelofar",Iqbal Shehzad,Iqbal Shehzad,Haroon Pasha (screenplay: Athar Shah Khan (Jaidi)),"Sohail Rana, Deebo","Fyaz Hashmi, Raz Alahabadi, Wahid Qureshi","Mala, Irene Parveen, Nazir Begum, Mehdi Hassan, Ahmad Rushdi, Habib Wali Mohammad",M. Sadiq Moti,
Dil dian Lagian, 1970-04-17, Romantic & musical film,"Rani, Ejaz, Zamurrad, Munawar Zarif, Mazhar Shah, Ilyas Kashmiri, Nabeela, Shahida, Nasira, Sheikh Iqbal, Fazal Haq",Waheed Dar,M. Humayun,Hazin Qadri,Master Inayat Hussain,Hazin Qadri,"Noorjahan, Mala, Saleem Raza, Masood Rana",?,
Neya Savera, 1970-04-17, Political motivated film,"Shabnam, Ejaz, Nazar, Zamurrad, Adeeb, Ajmal, Ilyas Kashmiri, Zeenat, Allauddin, A. Shah, Abbas Nosha, Naeem Hashmi, Tarana, ChhamChham, Rashad, Najmul Hassan",Jameel Akhtar,Syed Atta Ullah Shah Hashmi,Razia Farhat (dialogues: Qamar Ajnalvi),Tasadduq Hussain,Qateel Shafai,"Noorjahan, Irene Parveen, Ahmad Rushdi",M. Fazil,
Jhuk geya Aasman, 1970-04-24, Family drama,"Tarannum, Moodi, Nirala, Kemal Irani",Sheikh Hassan,Tarannum,?,Deebo,?,Mehdi Hassan,?,
Behram, 1970-05-01, Action film,"Naghma, Sudhir, Aliya, Iqbal Hassan, Rukhsana, Ilyas Kashmiri, Asad Bukhari, Nabeela, Saiqa, Seema, Ali Ejaz, Munir Zarif, Irfan Khoost, Fazal Haq, Khayyam",Maqsood Ayaz,Zulfiqar Ali Syed,Zakki B.A.,"Ghulam Hussain Shabir, Wajahat Attray",?,?,Naseer Ahmad,
Chann Sajna, 1970-05-01, Family drama,"Rani, Yousuf Khan, Aliya, Iqbal Hassan, Sultan Rahi, Nayyar Sultana, Darpan, Asad Bukhari, Meena Shori, Munawar Zarif, Ali Ejaz, Razia, Niggo, ChhamChham, Nasira, Fazil Butt",Waheed Dar,S.M. Ali,Hazin Qadri,Wajahat Attray,Hazin Qadri,"Noorjahan, Naseem Begum, Masood Rana",Naseem Hussain Shah,
Chor Nalay Chattar, 1970-05-01, Family drama,"Naghma, Sudhir, Saloni, Mazhar Shah",Riaz Ahmad,Riaz Ahmad,?,Rehman Verma,?,"Noorjahan, Ahmad Rushdi",?,
Taxi Driver, 1970-05-15, Social film,"Rani, Habib, Yousuf Khan, Aliya, Nanha, Ilyas Kashmiri, Atia Sharf, Najmul Hassan, Tani, Saiqa Jaggi Malik, Niggo, Meena Chodhary, Changezi, Hamid, Gotam, Taya Barkat, Imdad Hussain, Rangoon Wala, Gulrez, (Guest: Sultan Rahi)",Iqbal Kashmiri,Raja Ghazanfar Ali,"Raja Ghazanfar Ali, (dialogues, screenplay: Tanvir Kazmi)",Master Abdullah,"Saleem Kashar, Tanvir Naqvi","Noorjahan, Mala, Naseem Begum, Tasawur Khanum",Kamran Mirza,
Insan aur Admi, 1970-05-15, Family drama,"Zeba, Mohammad Ali, Asiya (introducing) Talat Hussain (as Farooq Jalal), Munawar Zarif, Aslam Parvez, Shahida, Zarqa, Rehan, Zeenat, Nasira, Seema, Asha Posley, Niggo, Meena Chodhary, Farida, Imdad Hussain, M.D. Sheikh,",Shabab Keranvi,A. Hameed,"Shabab Keranvi, (dialogues: Shatir Ghaznavi)",M. Ashraf,"Taslim Fazli, Shabab Keranvi","Noorjahan, Mehdi Hassan, Rangeela",Riaz Bukhari,
Be-Qasoor, 1970-05-22, Family drama,"Deeba, Mohammad Ali, Masood Akhtar, Zeenat",Haidar Chodhary,Siddique and Hanif,?,Manzoor Ashraf,?,"Mala, Runa Laila, Ahmad Rushdi, Masood Rana, Mujeeb Alam",?,
Chalo Maan geye, 1970-05-22, Family drama,"Shabnam, Rehman, Jalil Afghani, Subhash Datta",Rehman,Babu Bhai,?,Basheer Ahmad,?,Basheer Ahmad,?,
Payel, 1970-05-22, Romantic film,"Shabana, Razzaq, Anis Javaid, Baby Rita, Santi, Mirza Shahi, Panna",Mustafeez,Ehtesham,?,Karim Shahabuddin,Shair Siddiqi,"Sabina Yasmin, Shehnaz Begum, Masood Rana, Mehmood Elahi",,
Sohna Mukhra tay Akh Mastani, 1970-06-05, Romantic film,"Firdous, Habib, Zamarrud, Yousuf Khan",M. Fazil,Aslam Fazil,?,Wajahat Attray,?,"Mala, Ahmad Rushdi, Masood Rana",?,
Noreen, 1970-06-05, Family drama,"Zeba, Mohammad Ali, Ghazala, Lehri, Sabira Sultana",Laiq Akhtar,"Ilyas Ahmad, Abdur Rasheed",Razia Ahmad,Nisar Bazmi,?,"Mala, Mehdi Hassan, Ahmad Rushdi",Kamran Mirza,
Gul Bakavli, 1970-06-12, Costume film,"Naghma, Kaifee, Aliya, Munawar Zarif, Asad Bukhari, Ilyas Kashmiri, Salma Mumtaz, Nasira, Nanha, Saiqa, Seema, Jaggi Malik, Sheikh Iqbal, Munir Zarif, Saqi, Rangoon Wala, Chakram, (Guests: Fazal Haq, Asha Poslay, Mehboob Kashmiri, ChunChunm, Murid Ahmad, Sikkedar)",Rasheed Chodhary,Rasheed Chodhary,Waris Ludhyanvi,A. Hameed,Waris Ludhyanvi,"Noorjahan, Mala, Naseem Begum, Inayat Hussain Bhatti",Iqbal Chodhary,
Darinda, 1970-06-12, Family drama,"Saloni, Sudhir, Rukhsana, Aliya, Tailsh",Shaukat Hashmi,S. Gul,?,Gul Haidar,?,Mehdi Hassan,?,
Shama Parvana, 1970-06-19, Family drama,"Nazim, Mahpara, Kemal Irani",M. Sultan,Nawab Ahmad,?,Ghulam Ali,?,Mehdi Hassan,?,
Heer Ranjha, 1970-06-19, Folk film,"Firdous, Ejaz, Zamurrad, Ajmal, Munawar Zarif, Aqeel, Salma Mumtaz, Ilyas Kashmiri, Farhi, Rangeela, Zulfi, Gul Zaman, Najmul Hassan, Seema, Tani, Niggo, Shakeel, Mehboob Kashmri",Masood Parvez,"Ejaz Durrani, Masood Parvez","Waris Shah (screenplay, dialogues: Ahmad Rahi)",Khawaja Khursheed Anwar,Ahmad Rahi,"Noorjahan, Naseem Begum, Irene Parveen, Munir Hussain, Masood Rana, Mujeeb Alam, Ghulam Ali",Masoodur Rehman,"ass. Imtiaz Qaisar
ass. Manzoor, Wazir Afzal"
Bedardi, 1970-06-19, Family drama,"Saloni, Kemal, Lehri, Aliya, Talish",Ahmad Qureshi,K. Riaz,?,Feroz Gul,?,Ahmad Rushdi,?,
Love in Jungle, 1970-06-19, Family drama,"Aliya, Azeem, Adeeb, Tarana",Akbar Ali Akku,Ayub Rehan,?,Tasadduq Hussain,?,"Mala, Ahmad Rushdi, Masood Rana",?,
Jalay Na Kyun Parwana, 1970-06-26, Romantic film,"Shabnam, Kemal, Nadeem, Lehri, Mustafa, Sentosh Russal, Saiqa, Jalil Afghani, Mehmood Ali",Shaukat Hashmi,Qadeer Khan,Shaukat Hashmi,Nashad,Taslim Fazli,"Mala, Irene Parveen, Nighat Seem,a Ahmad Rushdi, Ifrahim, Nadeem",Jan Mohammad,
Love in Europe, 1970-06-26, Ramantic film,"Rozina, Kemal, Tarana, Ibrahim Nafees, Naina, Jameel Akhtar",Jameel Akhtar,Sheikh Abdur Rasheed,Younis Rahi,M. Ashraf (ass. Ashiq),Tanvir Naqvi,"Mala, Irene Parveen, Ahmad Rushdi, Masood Rana","Nabi Ahmad, Babar Balal",
Bahadur Kissan, 1970-07-03, Family drama,"Firdous, Akmal, Munawar Zarif, Nazar, Razia, Sultan Rahi, Sawan",Zafar Daar,G.S. and Co.,?,Tufail Farooqi,Ahmad Rahi,"Naseem Begum, Ahmad Rushdi, Masood Rana",?,
Ghairat Shaan Jawana di, 1970-07-03, Family drama,"Firdous, Sudhir, Saloni, Yousuf Khan, Talish, Ilyas Kashmiri",Rashid Akhtar,Khawaja Azhar Hussain,Tanvir Kazmi,Wajahat Attray,Ahmad Rahi,"Irene Parveen, Munir Hussain",?,
Rabb di Shaan, 1970-07-24, Social film,"Rani, Inayat Hussain Bhatti, Aliya, Afzal Khan, Munawar Zarif, Sultan Rahi, Asad Bukhari, Nabeela, Razia, Khalifa Nazir, Ali Ejaz, Irfan Khoost, Seema, Niggo, Ali Ahmad, M.D. Sheikh (Guests: Nasira, Tani, Shahida, ChunChun, Allauddin)",Zafar Shabab (also screenplay),"Saghir Ahmad, Nisar Ahmad",Agha Jamsheri,"Tafoo, Tasadduq Hussain","Hazin Qadri, Basheer Khokhar","Noorjahan, Naseem Begum, Inayat Hussain Bhatti",Imtiaz Ahmad Qureshi,
Mohabbat Rang laye gi, 1970-07-24, Romantic film,"Zeba, Mohammad Ali, Lehri, Saiqa, Saqi",S. Suleman,Mian Ehsan,Agha Hassan Imtisal,Nisar Bazmi,?,"Mehdi Hassan, Ahmad Rushdi, Mujeeb Alam",?,
Reshma, 1970-07-24, Family drama,"Saloni, Sudhir, Aliya, Iqbal Hassan, Rangeela, Sheikh Iqbal, Adeeb",Daud Chand,B. M. Malik,?,Amjad Hussain,?,?,?,
Meri Dharti Mera Pyar, 1970-07-31, Family drama,"Naghma, Habib, Aliya, Iqbal Hassan, Deeba, Rangeela, Salma Mumtaz, Talish, Sultan Rahi, Fazil Butt, Rehan, Razia, Saiqa, Khalid Abbas Dar, M. Ismael, Niggo, ChunChun, Rafiq, Tingu, Jandra",Abid Shujaa,Salma Mumtaz,Salma Mumtaz (dialogs: Saeed Sahili),"Hassan Latif, G.A. Chishti","Tufail Hoshiarpuri, Waris Ludhyanvi, Habib Jalib, Abid Shujaa, Salma Mumtaz","Noorjahan, Naseem Begum",Razzaq Mirza,
Anjuman, 1970-07-31, Social & musical film,"Rani, Deeba, Waheed Murad, Lehri, Santosh, Sabiha Khanum, Tamanna, Gotam, Nazir Bedi, Ilyas Kashmiri",Hassan Tariq,"Safdar Masood, Hassan Tariq",Agha Hassan Imtesal,Nisar Bazmi,"Saif-ud-din Saif, Fyaz Hashmi, Masroor Anwar, Saroor Barabankvi","Noorjahan, Runa Laila, Ahmad Rushdi",M.R. Ahmad,
Hamlog, 1970-08-07, Family drama,"Jugnoo, Murad, Saqi, Nasira, Zeenat, Kamal Irany, Munawar Zarif, Ali Ejaz, Munir Zarif, Nanha, Diljeet Mirza, Khalifa Nazir, ChunChun, M.D. Sheikh, Changezi, Chakram, Rasheed Zarif",Wazir Ali,Saqi Baloch,"Rasheed Sajid (dialogues: Saleem Khan, Saleem Wamiq)",Tasadduq Hussain,Muzaffar Warsi,"Mala, Irene Parveen, Mehdi Hassan, Masood Rana","M. Fazil, M. Latif",
Jeb Kutra, 1973-02-02, Family drama,"Kaifee, Rani, Inayat Hussain Bhatti, Ghazala, Iqbal Hassan, Asad Bukhari, Deeba, Munawar Zarif, Razia, Seema, ChunChun, Suhail",Syed Raza Zaidi,Matloob Ahmad,Kaifee,Aashiq Hussain,Hazin Qadri (also dialogues),"Noorjahan, Mala, Tasawur Khanum, Inayat Hussain Bhatti",Riaz Bukhari,
Sayyan, 1970-08-14, Family drama,"Naghma, Habib, Rukhsana, Munawar Zarif, Mazhar Shah, Allauddin, Ragni, Shahida, ChunChun, Ali Ejaz, Majeed Zarif, Raseela",A. Riaz,M. Ashraf,Imtiaz Quresh,G.A. Chishti,"Waris Ludhyanvi, Saeed Jafri, Aslam Shahid, Salamat Siddiqi","Noorjahan, Irene Parveen, Tasawur Khanum, Fazal Hussain, Masood Rana",?,
Najma, 1970-09-11, Family drama,"Zeba, Mohammad Ali, Rozina, Aliya, Rangeela, Mustfa Qureshi, Ilyas Kashmiri, Qavi, Tamanna, Kamal Iranee, Fomi, Nasira",Masood Parvez,G.A. Gul,?,Master Inayat Hussain,Qateel Shafai,"Noorjahan, Mala, Naseem Begum, Saleem Raza, Mehdi Hassan, Ahmad Rushdi",?,
Parai Beti, 1970-09-11, Family drama,"Rozina, Kemal, Tariq Aziz, Tamanna",Iqbal Rizvi,Arshad Malik,?,Nazir Sabir,?,"Mehdi Hassan, Ahmad Rushdi",?,
Rangeela, 1970-09-18, Social & musical film,"Nisho, Rangeela, Aqeel, Saiqa, Salma Mumtaz, Munawar Zarif, Sultan Rahi, Meena Chodhary, Zarqa, Najmul Hassan, Mazhar Shah, Ilyas Kashmiri, M.D. Sheikh, Jaggi Malik, Munir Zarif, Rasheed Zarif, Chhabeela, Nanha, Ladla, Zulfi, Razia, Amin Malik, Banka, Rafiq, Tingu",Rangeela,Rangeela,"Rangeela (dialogues, screenplay: Basheer Niaz)","Kemal Ahmad, Nazir Ali","Waris Ludhyanvi, Fyaz Hashmi, Khawaja Parvez, Kemal Ahmad","Mala, Irene Parveen, Tasawur Khanum, Ahmad Rushdi, Munawar Zarif, Rangeela",?,
Pardesi, 1970-09-25, Family drama,"Rozina, Ejaz, Aliya, Aslam Parvez",Riaz Ahmad Raju,Arif Jameel,?,Wazir Afzal,?,?,?,
Rangu Jatt, 1970-09-25, Social film,"Sudhir, Naghma, Habib, Munawar Zarif, Sultan Rahi, Allauddin, Naeem Hashmi, Nighat Sultana, Abbas Nosha, Changezi, Munir Zarif (Guests: Iqbal Hassan, Rukhsana, Meena Shori, Salma Mumtaz, M. Ismael)",Raja Hafeez,Mohammad Abdullah,"Qamar Ajnalvi (dialogs, screenplay: Zaheed Ahmad Naqsh)",Master Abdullah,Saleem Kashar,"Noorjahan, Naseem Begum, Masood Rana, Mujeeb Alam",M.R. Ahmad,
Att Khuda da Vair, 1970-10-09, Social & musical film,"Naghma, Habib, Iqbal Hassan, Munawar Zarif, Razia, Nanha, Salma Mumtaz, Sultan Rahi, Changezi, Jaggi Malik, Khayyam, Taya Barkat, Tani, Seema, ChunChun, Munir Zarif, Gotam, Niggo, Meena Chodhary, Chohan, M.D. Sheikh",Khawaja Sarfaraz,Amin Chodhary,Saleem Durrani (dialogues: Zakki B.A.),Bakhshi Wazir (ass. Nazir Ali),Tanvir Naqvi,"Noorjahan, Nazir Begum, Irene Perven, Runa Laila, Masood Rana",Idris Lodhi,
Bholay Shah, 1970-10-09, Family drama,"Naghma, Habib, Zamurrad, Rangeela, Munawar Zarif, Sultan Rahi, Allauddin, Ali Ejaz, Khalifa Nazir, Rasheed Zarif, ChhamChham, Najmul Hassan, Zeenat",Haidar Chodhary,Naseemul Saqlain,Tanvir Kazmi,G.A. Chishti,Waris Ludhyanvi,"Runa Laila, Irene Parveen, Masood Rana",Sarwar Gul,
Qadra, 1970-10-09, Family drama,"Naghma, Yousuf Khan, Kaifee, Aliya, Iqbal Hassan, Ilyas Kashmiri, Salma Mumtaz, Munawar Zarif, Saiqa, Fazal Haq, Seema",Altaf Hussain,Mujahid Samdani,?,G.A. Chishti,?,"Noorjahan, Masood Rana","Waqar Bukhari, Akram Shah",
Phir Chand Niklay ga, 1970-10-09, Family drama,"Deeba, Waheed Murad, Rozina, Hanif, Nirala, Shah Nawaz, Azad, Tamanna, Ibrahim Nafees, Mehmood Ali",Rafiq Rizvi,Mehmoodul Haq,"Mubinul Haq Siddiqi (dialogues: Iqbal Rizvi, screenplay: Saleem Ahmad)",Sohail Rana,Anjum Keranvi,"Noorjahan, Mala, Irene Parveen, Runa Laila, Mehdi Hassan, Ahmad Rushdi, Masood Rana",Nazir Hussain,
Chann Puttar, 1970-10-16, Family drama,"Firdous, Habib, Yousuf Khan, Zamurrad, Rangeela, Asad Bukhari, Ilyas Kashmiri, Nazar, Khalifa Nazar, Razia, Ali ejaz, Ladla, Rafiq, Sheikh Iqbal, Ashiq Jatt, (Guests: Sultan Rahi, Salma Mumtaz)",M.J. Rana (also screenplay),Sheikh Nazir Hussain,"Mistry Iqbal, (dialogues: Imtiaz Quresh)",G.A. Chishti,Waris Ludhyanvi,"Noorjahan, Naseem Begum, Irene Parveen, Munir Hussain, Ahmad Rushdi",Naseem Hussain,
Ek Phool Ek Pathar, 1970-10-16, Family drama,"Zeba, Mohammd Ali, Talish, Atia Sharf",S. Suleman,Arshad Sardar,?,Nashad,?,Ahmad Rushdi,?,
Aashna, 1970-10-23, Family drama,"Sumbal, Talat Hussain, Saleem, Komal, Tamanna, Nanha, Rashid, Jamil Bismil, Arsalan, Neema, Sikandar, Rafiq Tingu",Suroor Barabankvi,Nisar Bazmi,"Akhtar Rehman (dialog: Zakir Hussain, Zainul Abedin)",Nisar Bazmi,Waheeda Naseem,"Mala, Shehnaz Begum, Ahmad Rushdi",M. Fazil,
Maa Tay Maa, 1970-12-01, Family drama,"Shaista Qaisar, Agha Sajjad, Saira Bano",Iqbal Akhtar,Qadeer Khan,?,Lal Mohammad Iqbal,Saba Fazli,Ahmad Rushdi,?,
Yousuf Khan Sher Bano, 1970-12-01, Romantic film,"Yasmin Khan, Badar Munir, Noreen, Nageena, Nemat Sarhadi, Anwar, Seithi, (Guests: Saqi, Mahpara)",Aziz Tabassum (also dialogues),"Syed Nazir Hussain, Shafi Qazi, Madan Ali Madan",Ali Haidar Joshi,Lal Mohammad Iqbal,Ali Haidar Joshi,"Rehana Yasmin, Nighat Akbar, Hadayat Ullah",Madad Ali Madan,
Charhda Suraj, 1970-12-01, Family drama,"Naghma, Sudhir, Iqbal Hassan, Rangeela, Munawar Zarif, SawanSaba, Sahra, Ragni, Farhi, ChunChun, Nanha, Munir Zarif, Niggo, Meena Chodhary, Jaggi Malik, Khayyam, Talish",M. Akram,M. Akram,Hazin Qadri,Wajahat Attray,Hazin Qadri,"Noorjahan, Naseem Begum, Tasawwur Khanum",Babar Bilal,
Dunya Matlab di, 1970-12-01, Social film,"Firdous, Inayat Hussain Bhatti, Rani, Kaifee, Munawar Zarif, Sultan Rahi, Ilyas Kashmiri, Asad Bukhari, Rekha, Nabeela, Sheikh Iqbal, Suhail, Seema, Razia",S.A. Ashrafi,Waseem Abbas,"Sheikh Iqbal, (screenplay: Kaifee)",M. Ashraf,Hazin Qadri (also dialogues),"Noorjahan, Inayat Hussain Bhatti",Amjad Bukhari,
Matrei Maa, 1970-12-01, Family drama,"Naghma, Kaifee, Iqbal Hassan, Sabiha, Santosh, Talish",Jafar Bukhari,Anis Dossani,?,G.A. Chishti,Hazin Qadri,"Mala, Masood Rana",?,
Sardara, 1970-12-01, Family drama,"Firdous, Habib, Iqbal Hassan, Sawan, Mazhar Shah, Munawa Zarif, Farzana, Ali Ejaz, Nasira, Seema, Meen Shori, Razia, Shahida, Imdad Hussain, Murid Ahmad",K.H. Zahid,Taskin Pictures,?,M. Ashraf,?,"Noorjahan, Naseem Begum, Tasawur Khanum, Rajab Ali, Munawar Zarif",?,
Tikka Mathay da, 1970-12-01, Family drama,"Naghma, Habib, Nabeela, Ghazala, Razia, Munawar Zarif, Mazhar Shah",M.A. Rasheed (also screenplay),M.A. Rasheed,?,G.A. Chishti,?,"Noorjahan, Mala, Munir Hussain, Mehdi Hassan, Masood Rana",Iqbal Chodhary,
Punnu Aaqil, 1970-12-01, Folk film,"Shehzadi, Qurban Jeelani, Waseem",S.M. Naseem,?,?,Ghulam Ali,?,?,?,
Road to Swat, 1970-12-01, Romantic film,"Naseema Khan, Kemal, Lehri, Hanif, Mahpara, Maqsood Malik",Munawar Rasheed,Niazi Malik,"? (screenplay, dialouges: Iqbal Rizvi)",Tasadduq Hussain,Mouj Lakhnavi,"Mala, Tani, Gul-e-Rana, Ahmad Rushdi, Masood Rana",Ghulam Mohammad,
Soughat, 1970-12-01, Family drama,"Rozina, Nadeem, Zamurrad, Masood Akhtar, Nanha, Andaleeb, Tariq Aziz, S.M. Saleem",Parvez Malik,Parvez Malik,Masroor Anwar,Sohail Rana,Masroor Anwar,"Runa Laila, Ahmad Rushdi, Masood Rana, Mujeeb Alam, Saleem Shehzad",M. Ayub,
Dera Sajna da, 1970-12-25, Romantic film,"Naghma, Habib, Iqbal Hassan, Asif Jah, Saiqa, Adeeba, Tani, Rehan, Shahida, Albela, Banka, Asha Poslay, Najmul Hassan, Mehboob Kashmiri",Munshi Dil,"Naseem Hafeez, Imran Saeed",Asif Jah,"Asghar Ali, Mohammad Hussain","Tanvir Naqvi, Baba Alam Siaposh, Zaheer Kashmiri, Asif Jah","Noorjahan, Irene Parveen, Runa Laila, Kanwal, Inayat Hussain Bhatti",Arif Malik,
